file,time_ms,pitch_hz
GH001,114,249.36652295736496
GH001,224,169.4350265048585
GH001,334,205.3433706479407
GH001,494,178.49559378630997
GH001,684,174.12601306025735
GH001,734,144.3337884164774
GH001,764,82.28023742862234
GH001,874,176.92119636780083
GH001,3264,229.8657271168517
GH001,3384,253.8089497033007
GH001,3594,196.00124017004435
GH001,3684,231.47524866196994
GH001,3744,205.2971448608609
GH001,3804,194.16899980340557
GH001,3854,203.68372637426316
GH001,3934,164.93635151542082
GH001,4014,181.30819192756493
GH001,4034,181.46694963688708
GH001,4104,166.74035198202444
GH001,4554,98.61867329490987
GH001,4684,171.25647158080713
GH001,5444,215.1843468224877
GH001,5534,275.0150074106323
GH001,5854,192.6731896762164
GH001,6044,184.7486177982628
GH001,6084,185.8342101293336
GH001,6234,238.37308538238617
GH001,6504,187.6098448021341
GH001,6524,185.35119158330082
GH001,6594,181.58391836718286
GH001,6684,188.81432298697138
GH001,6844,147.09412092477945
GH001,6864,145.15358436698472
GH001,6884,139.76811012525442
GH001,6984,135.17792931656703
GH001,7184,163.65434635939354
GH001,7214,147.32913860410588
GH001,7284,136.1956691996707
GH001,7344,130.86352536049094
GH001,7394,132.26207162356437
GH001,7414,131.7106326963535
GH001,7584,179.13557410024603
GH001,7874,149.26742299302293
GH001,7914,148.21851795350943
GH001,7984,148.36322365342664
GH001,8004,147.93538193638835
GH001,8034,148.2331518553092
GH001,8084,152.86190652539858
GH001,8184,170.49185836739892
GH001,8274,165.01873509681838
GH001,8294,165.1743714422259
GH001,8364,169.32569875428743
GH001,8384,170.24558566905358
GH001,8584,157.3500517943349
GH001,8604,157.5102561056331
GH001,8794,144.01461082255892
GH001,8824,145.8639687437934
GH001,8914,130.04210431423442
GH001,8984,134.69056150689937
GH001,9064,126.30912390265006
GH001,9084,127.05599640496183
GH001,9124,143.12610074683988
GH001,9164,140.4000221614401
GH001,9194,139.62436155567482
GH001,9374,111.24799424635589
GH001,9424,115.04136160916691
GH001,9494,129.6717076220606
GH001,9524,131.71639570796856
GH001,9644,101.37335762433236
GH001,9674,99.1609690793109
GH001,9694,96.96692140905883
GH001,9724,105.45233001419085
GH001,10654,148.888416916546
GH001,10804,249.41265748520127
GH001,10844,240.9760640863851
GH001,10984,188.52278922736025
GH001,11004,188.11990684833256
GH001,11184,181.5628110068408
GH001,11344,204.66533019945234
GH001,11404,179.48816804382682
GH001,11454,213.8134425968238
GH001,11594,226.62008956264634
GH001,11674,211.08762822372722
GH001,11754,188.38665145996237
GH001,11854,184.53190137887154
GH001,11924,175.0967540436208
GH001,11984,156.57563779151644
GH001,12064,161.49983414763318
GH001,12224,146.80552670335618
GH001,12294,130.50522667966797
GH001,12354,121.6003788377007
GH001,12434,148.9437924449358
GH001,12524,166.64906473667872
GH001,12584,162.45368049218303
GH001,12664,131.79880454585137
GH001,13404,214.90218715446125
GH001,13644,173.87496513813664
GH001,13704,164.60008389512782
GH001,13814,200.93858923862362
GH001,13844,201.09323632594857
GH001,13944,148.89315338502882
GH001,14054,173.13108552184372
GH001,14204,163.9906769970124
GH001,14334,148.96337192598108
GH001,14374,150.11339261421435
GH001,14424,138.62070505486085
GH001,14544,141.62850268749858
GH001,14574,139.17579378961577
GH001,14674,88.10171051876485
GH001,15794,150.40663140692905
GH001,15844,152.0499978329114
GH001,15894,147.82393039857672
GH001,15974,155.45277893944083
GH001,16244,211.26772758795641
GH001,16324,189.604765953352
GH001,16614,138.47453462074785
GH001,16744,176.31962786637544
GH001,16814,202.8431575508302
GH001,16954,157.12962372305006
GH001,17044,127.87923459486564
GH001,17244,160.65511754345206
GH001,17464,150.82598075942025
GH001,17504,157.34534661663966
GH001,17644,151.21429746523143
GH001,17754,161.7392375937681
GH001,17844,151.87079471230027
GH001,18034,132.42033279207146
GH001,18114,123.83235634678327
GH001,19074,99.54849569120827
GH001,19424,130.07714579098666
GH001,19454,175.7167110111453
GH001,20024,209.89688842126296
GH001,20054,197.66894370934924
GH001,20164,192.04354420001042
GH001,20214,180.82187341122528
GH001,20254,179.50408911603043
GH001,20664,282.7377611840986
GH001,20714,193.5465020557334
GH001,20764,183.46755969549125
GH001,20864,216.43230860221865
GH001,21074,188.67109813791595
GH001,21224,251.22617468935974
GH001,21354,273.96228735957186
GH001,21494,266.6513111581768
GH001,21554,250.7816409242549
GH001,21664,238.7983807091917
GH001,21774,216.3110085005814
GH001,21844,213.06570368434575
GH001,21914,190.30255792993756
GH001,22194,199.12714552862425
GH001,22224,197.39760367292982
GH001,23624,207.03402272840052
GH001,23664,218.60649947169134
GH001,23864,191.94429820830183
GH001,24014,242.2238948031678
GH001,24214,266.6167724336627
GH001,24464,278.740566182342
GH001,24684,113.97856655364797
GH001,24744,197.16960166752207
GH001,25514,186.75869630660395
GH001,25554,185.1105784056167
GH001,25624,171.6096147422845
GH001,25644,171.7313475889654
GH001,25694,167.6961736917864
GH001,25914,242.2686680848137
GH001,26174,255.10622626152434
GH001,26214,252.27530222817535
GH001,26454,194.21554904992286
GH001,27034,207.82235198820143
GH001,27094,215.7922304976215
GH001,27254,235.28415256732112
GH001,27284,233.99093935138046
GH001,27374,197.58208013577186
GH001,27544,234.0271022264916
GH001,27564,234.97145809340174
GH001,27594,234.8496544337859
GH001,27844,161.46736648504833
GH001,27894,156.23655661604775
GH001,27974,165.7260645193947
GH001,28004,160.813361893041
GH001,28024,160.98703759399132
GH001,28044,154.50926079230237
GH001,28194,160.78430371944387
GH001,28234,156.8791632780397
GH001,28284,151.52819207102127
GH001,28384,145.81708387547678
GH001,28474,194.9609351889438
GH001,28554,187.8847339955062
GH001,28584,186.0052240902131
GH001,28724,219.78693992801544
GH001,28754,216.36136819560662
GH001,28784,215.48450785543662
GH001,28924,191.63084348927532
GH001,29024,173.82347591845758
GH001,29114,154.60912664723722
GH001,29134,147.43905576629535
GH001,29234,130.60793545841474
GH001,29274,113.26559280187382
GH001,29304,107.88997132692106
GH001,29324,104.55728574705188
GH001,29514,173.50266020216085
GH001,30064,145.73867039705758
GH001,30124,142.12720050668966
GH001,30274,147.4793486811033
GH001,30414,174.37326686639565
GH001,30444,171.66188688466633
GH001,30544,133.88368261284973
GH001,31974,141.0040519834117
GH001,32004,157.56896034312365
GH001,32934,245.9323356259468
GH001,32974,231.7943913477801
GH001,33264,138.36619441215794
GH001,33294,125.27911245765848
GH001,33404,133.2436083894751
GH001,33464,117.06282393659178
GH001,33574,115.60081896882467
GH001,33594,133.45472276314655
