file,start_ms,end_ms,dur_ms
GH007,38702,42149,3447
GH007,42712,44446,1734
GH007,45031,45401,370
GH007,46023,49474,3451
GH007,49926,56588,6662
GH007,57389,60009,2620
GH007,60786,65122,4336
GH007,65960,67306,1346
GH007,68338,68913,575
GH007,69684,71626,1942
GH007,72203,74194,1991
GH007,74823,75827,1003
GH007,76381,77270,889
GH007,77858,80200,2342
GH007,81282,82424,1142
GH007,82854,83545,691
GH007,84089,84590,502
GH007,85236,86364,1128
GH007,86800,88341,1541
GH007,89006,89279,273
GH007,89802,92448,2646
GH007,92971,97541,4570
GH007,98037,98513,476
GH007,99182,100260,1079
GH007,100911,101236,326
GH007,101861,102246,385
GH007,103058,104088,1030
GH007,104609,106784,2175
GH007,108223,108904,681
GH007,109733,113766,4032
GH007,114169,123882,9713
GH007,124340,129307,4967
GH007,129726,135505,5779
GH007,135997,141636,5639
GH007,142254,153064,10810
GH007,153567,160995,7428
GH007,161563,163150,1587
GH007,163996,171799,7802
GH007,172335,173311,976
GH007,173844,174890,1046
GH007,175363,176926,1563
GH007,177417,178014,596
GH007,178513,182977,4464
GH007,183832,185955,2122
GH007,186546,190033,3487
GH007,190559,193056,2497
GH007,193729,198845,5115
GH007,199560,202026,2466
GH007,203102,206008,2906
GH007,206464,209123,2659
GH007,209608,212043,2435
GH007,212851,213448,598
GH007,213985,215756,1770
GH007,216672,217498,826
GH007,218042,221544,3502
GH007,222210,224321,2111
GH007,224929,227361,2431
GH007,227787,233717,5929
GH007,234126,246682,12555
GH007,247251,252690,5439
GH007,253192,268503,15311
GH007,269933,270612,678
GH007,271216,276947,5731
GH007,277408,279223,1815
GH007,279819,284238,4418
GH007,284648,284950,302
GH008,50,518,468
GH008,2055,3184,1129
GH008,4876,5415,538
GH008,7171,8804,1634
GH008,10676,11828,1152
GH008,15077,15682,604
GH008,18406,18670,264
GH008,20395,21343,948
GH008,23951,24218,267
GH008,27355,28034,678
GH008,30378,30656,278
GH008,31854,32768,915
GH008,34381,34641,260
GH008,35471,36010,539
GH008,36747,38416,1669
GH008,41347,43044,1698
GH008,45707,47969,2262
GH008,48616,48983,366
GH008,50014,53125,3111
GH008,54611,56095,1484
GH008,57717,58134,417
GH008,58844,59507,663
GH008,61589,63102,1513
GH008,64641,66787,2145
GH008,67508,68966,1458
GH008,70404,71169,765
GH008,71964,74275,2312
GH008,74700,75969,1269
GH008,76449,78573,2125
GH008,80634,83995,3361
GH008,85345,87023,1678
GH008,88190,89661,1471
GH008,90930,91913,983
GH008,92662,94423,1761
GH008,95867,97758,1891
GH008,98826,99562,736
GH008,100154,101596,1441
GH008,102395,103128,733
GH008,103993,105781,1788
GH008,107008,107587,579
GH008,108084,111283,3199
GH008,112486,113723,1237
GH008,114847,116178,1331
GH008,117324,120856,3532
GH008,121336,123847,2511
GH008,126117,126409,292
GH008,128413,129554,1142
GH008,130024,131580,1556
GH008,132380,133280,901
GH008,134306,134821,515
GH008,135237,140153,4916
GH008,141821,144846,3025
GH008,146464,148368,1905
GH008,149181,149927,746
GH008,150340,151334,995
GH008,152479,156979,4501
GH008,158370,169218,10848
GH008,169732,173307,3575
GH008,173941,175915,1974
GH008,176904,177974,1070
GH008,178916,183417,4501
GH008,184282,188618,4336
GH008,193333,199838,6505
GH008,200309,203715,3405
GH008,210431,210941,510
GH008,213148,217997,4849
GH008,220829,222794,1965
GH008,224947,226199,1252
GH008,227453,230469,3016
GH008,231242,232223,982
GH008,232889,233704,816
GH008,234374,235350,976
GH008,237107,238815,1708
GH008,239471,241599,2128
GH008,242176,243050,874
GH008,244801,249630,4829
GH008,251258,252928,1670
GH008,254682,255997,1315
GH008,256802,258596,1793
GH008,259563,261395,1832
GH008,262238,272401,10162
GH008,273233,276044,2811
GH008,277548,280189,2641
GH008,282126,286396,4270
GH008,286975,288936,1960
GH008,290331,291075,744
GH008,293382,294356,974
GH008,294860,301032,6172
GH008,301964,305909,3945
GH008,306449,306919,470
GH008,307420,311784,4364
GH008,312206,314836,2630
GH008,315506,320893,5387
GH008,321905,323111,1206
GH008,324389,325657,1268
GH008,327068,335436,8369
GH008,335944,336668,724
GH008,338472,341087,2616
GH008,341537,343009,1472
GH008,343641,344212,570
GH008,344714,354368,9654
GH008,356769,357961,1192
GH008,358590,359867,1278
GH008,360757,361255,498
GH008,364285,367703,3418
GH008,369650,370805,1155
GH008,371807,374907,3100
GH008,377079,378197,1118
GH008,379045,383386,4341
GH008,384496,390731,6235
GH008,391841,393140,1300
GH008,394502,397091,2589
GH008,397605,398303,698
GH008,398829,400444,1614
GH008,400915,405446,4531
GH008,405853,408052,2199
GH008,408468,412794,4326
GH008,413862,415542,1680
GH008,416366,416852,487
GH008,417408,418949,1541
GH008,421494,422947,1453
GH008,423391,425261,1870
GH008,426190,432928,6738
GH008,433329,438257,4928
GH008,438735,440427,1693
GH008,440984,441840,856
GH008,442308,443177,869
GH008,445667,446999,1332
GH008,448364,449209,845
GH008,451153,454548,3395
GH008,457266,458874,1608
GH008,460709,461325,616
GH008,462026,462353,328
GH008,464013,465382,1369
GH008,465833,467204,1371
GH008,468382,477399,9017
GH008,477868,480898,3030
GH008,481332,482150,818
GH008,482813,484208,1394
GH008,486945,489110,2165
GH008,491330,492018,688
GH008,492447,493129,682
GH008,494192,505889,11697
GH008,511391,512955,1564
GH008,513706,515332,1627
GH008,516066,516798,732
GH008,518617,519751,1134
GH008,520557,521022,464
GH008,522613,523410,797
GH008,523894,525078,1184
GH008,525765,530374,4609
GH008,531332,534836,3504
GH008,535960,539068,3109
GH008,539923,544153,4231
GH008,546154,547328,1174
GH008,551330,553007,1677
GH008,553662,554749,1087
GH008,556030,558285,2256
GH008,559760,561954,2194
GH008,564145,566327,2182
GH008,567272,572272,5001
GH008,572709,575396,2687
GH008,575846,586562,10716
GH008,586987,599982,12995
GH009,50,1543,1493
GH009,1946,9970,8024
GH009,10860,12244,1384
GH009,14284,18644,4360
GH009,19238,20028,790
GH009,22102,22636,534
GH009,23582,23979,396
GH009,24397,24993,596
GH009,26172,27652,1480
GH009,28211,30284,2074
GH009,31528,33858,2330
GH009,34296,35050,755
GH009,36779,38566,1787
