file,ann_id,start_ms,end_ms,dur_ms,label
GH005,a66,16980,17654,674,English
GH005,a67,17667,17990,323,English
GH005,a68,25342,25996,654,English
GH005,a69,27410,28420,1010,English
GH005,a70,29330,30160,830,English
GH005,a71,30823,33770,2947,English
GH005,a72,35000,36150,1150,English
GH005,a73,38720,39237,517,English
GH005,a74,52660,59760,7100,English
GH005,a75,64010,66740,2730,English
GH005,a76,67348,67882,534,English
GH005,a77,75670,76366,696,English
GH005,a78,76793,77738,945,English
GH005,a79,84761,85661,900,English
GH005,a80,95559,97013,1454,English
GH005,a81,97055,98350,1295,English
GH005,a82,100050,100410,360,English
GH005,a83,104730,105080,350,English
GH005,a84,108630,109288,658,English
GH005,a85,111282,112114,832,English
GH006,a67,1773,12500,10727,English
GH006,a68,34480,35352,872,English
GH006,a69,37452,37990,538,English
GH006,a70,43486,43940,454,English
GH006,a71,48212,48730,518,English
GH006,a72,49835,50346,511,English
GH006,a73,56277,56792,515,English
GH006,a74,57860,60305,2445,English
GH006,a75,61462,64620,3158,English
GH006,a76,65690,66187,497,English
GH006,a77,66790,67100,310,English
GH006,a78,69946,71475,1529,English
GH006,a79,71552,72496,944,English
GH006,a80,76353,79181,2828,English
GH006,a81,79265,82951,3686,English
GH006,a82,82951,86251,3300,English
GH006,a83,91511,94086,2575,English
GH006,a84,96732,97526,794,English
GH006,a85,101491,102258,767,English
GH006,a86,105198,106112,914,English
GH006,a87,107902,108511,609,English
GH006,a88,113577,118543,4966,English
GH006,a89,121399,122335,936,English
GH006,a90,123614,124125,511,English
GH006,a91,124199,125433,1234,English
GH006,a92,126976,127377,401,English
GH006,a93,128120,128623,503,English
GH006,a94,132326,132811,485,English
GH006,a95,135589,136433,844,English
GH006,a96,140668,141253,585,English
GH006,a97,142362,143047,685,English
GH006,a98,145858,146248,390,English
GH006,a99,147767,148440,673,English
GH006,a100,151677,152236,559,English
GH006,a101,156106,157000,894,English
GH006,a102,158692,159066,374,English
GH006,a103,160186,161314,1128,English
GH006,a104,165440,166701,1261,English
GH006,a105,167315,168423,1108,English
GH006,a106,168795,169425,630,English
GH006,a107,169735,170763,1028,English
GH007,a165,15260,15624,364,English
GH007,a166,16998,17673,675,English
GH007,a167,19010,19500,490,English
GH007,a168,20077,20859,782,English
GH007,a169,38519,41530,3011,English
GH007,a170,56658,58600,1942,English
GH007,a171,60600,61332,732,English
GH007,a172,62526,62970,444,English
GH007,a173,66020,66730,710,English
GH007,a174,70949,71426,477,English
GH007,a175,73137,73767,630,English
GH007,a176,93979,94320,341,English
GH007,a177,95928,97728,1800,English
GH007,a178,108070,108819,749,English
GH007,a179,110250,110510,260,English
GH007,a180,110910,112028,1118,English
GH007,a181,119774,121440,1666,English
GH007,a182,123099,128109,5010,English
GH007,a183,134175,134844,669,English
GH007,a184,136130,137570,1440,English
GH007,a185,140190,140490,300,English
GH007,a186,142065,142534,469,English
GH007,a187,170673,171993,1320,English
GH007,a188,180913,181770,857,English
GH007,a189,207682,208947,1265,English
GH007,a190,219067,220391,1324,English
GH007,a191,229460,230194,734,English
GH007,a192,238111,239920,1809,English
GH007,a193,251329,254500,3171,English
GH007,a194,255238,255510,272,English
GH007,a195,256178,257200,1022,English
GH007,a196,263081,264040,959,English
GH007,a197,264400,266135,1735,English
GH007,a198,279890,281187,1297,English
GH008,a134,8160,9037,877,English
GH008,a135,10640,12206,1566,English
GH008,a136,12945,14018,1073,English
GH008,a137,19998,21662,1664,English
GH008,a138,27263,28256,993,English
GH008,a139,30290,37540,7250,English
GH008,a140,40930,41960,1030,English
GH008,a141,48292,49078,786,English
GH008,a142,67378,67940,562,English
GH008,a143,76783,77220,437,English
GH008,a144,77625,79100,1475,English
GH008,a145,82950,83521,571,English
GH008,a146,85320,85700,380,English
GH008,a147,85984,87060,1076,English
GH008,a148,92700,94937,2237,English
GH008,a149,95762,96516,754,English
GH008,a150,99022,99879,857,English
GH008,a151,100945,101775,830,English
GH008,a152,102600,103279,679,English
GH008,a153,104478,105250,772,English
GH008,a154,108003,108640,637,English
GH008,a155,118370,118760,390,English
GH008,a156,121373,124610,3237,English
GH008,a157,125892,126721,829,English
GH008,a158,128281,136950,8669,English
GH008,a159,143330,144190,860,English
GH008,a160,146722,148160,1438,English
GH008,a161,149115,149732,617,English
GH008,a162,153270,153980,710,English
GH008,a163,154101,155250,1149,English
GH008,a164,156007,157151,1144,English
GH008,a165,159590,159990,400,English
GH008,a166,162329,166300,3971,English
GH008,a167,173806,174731,925,English
GH008,a168,175144,176136,992,English
GH008,a169,177221,178139,918,English
GH008,a170,179250,179960,710,English
GH008,a171,180166,181260,1094,English
GH008,a172,184968,189210,4242,English
GH008,a173,192903,203990,11087,English
GH008,a174,218170,219060,890,English
GH008,a175,240439,241393,954,English
GH008,a176,250885,281885,31000,English
GH008,a177,289694,291447,1753,English
GH008,a178,306280,307071,791,English
GH008,a179,313921,314500,579,English
GH008,a180,316190,316819,629,English
GH008,a181,322334,323240,906,English
GH008,a182,327448,328361,913,English
GH008,a183,331766,332813,1047,English
GH008,a184,335585,337009,1424,English
GH008,a185,338250,341570,3320,English
GH008,a186,343246,344486,1240,English
GH008,a187,353440,354370,930,English
GH008,a188,356521,361850,5329,English
GH008,a189,364050,365760,1710,English
GH008,a190,379845,383990,4145,English
GH008,a191,388929,391170,2241,English
GH008,a192,391898,394120,2222,English
GH008,a193,394659,397897,3238,English
GH008,a194,402229,405730,3501,English
GH008,a195,411869,413098,1229,English
GH008,a196,426280,427558,1278,English
GH008,a197,438354,443600,5246,English
GH008,a198,445837,447231,1394,English
GH008,a199,448506,449227,721,English
GH008,a200,452347,452963,616,English
GH008,a201,453557,454120,563,English
GH008,a202,457123,459112,1989,English
GH008,a203,460430,462670,2240,English
GH008,a204,464958,465190,232,English
GH008,a205,465745,467544,1799,English
GH008,a206,469330,469560,230,English
GH008,a207,474216,474763,547,English
GH008,a208,476233,476815,582,English
GH008,a209,487799,489721,1922,English
GH008,a210,491400,493330,1930,English
GH008,a211,496779,497716,937,English
GH008,a212,497781,501660,3879,English
GH008,a213,503725,504636,911,English
GH008,a214,504645,506222,1577,English
GH008,a215,512199,513139,940,English
GH008,a216,514712,515799,1087,English
GH008,a217,518543,520265,1722,English
GH008,a218,522538,525500,2962,English
GH008,a219,527452,528346,894,English
GH008,a220,546025,547521,1496,English
GH008,a221,551020,552970,1950,English
GH008,a222,553985,555049,1064,English
