file,start_ms,end_ms,dur_ms
GH007,49524,49876,352
GH007,56638,57339,701
GH007,60059,60736,677
GH007,65172,65910,739
GH007,67356,67960,604
GH007,67965,68288,323
GH007,68963,69634,672
GH007,71676,72153,477
GH007,74244,74773,530
GH007,75877,76331,455
GH007,77320,77808,488
GH007,80250,81232,983
GH007,82474,82804,329
GH007,83595,84039,443
GH007,84640,85186,546
GH007,86414,86750,336
GH007,88391,88956,565
GH007,89329,89752,422
GH007,92498,92921,423
GH007,97591,97987,396
GH007,98563,99132,568
GH007,100310,100861,550
GH007,101286,101811,525
GH007,102296,103008,712
GH007,104138,104559,421
GH007,106834,107179,345
GH007,107504,108173,669
GH007,108954,109683,730
GH007,113816,114119,303
GH007,123932,124290,358
GH007,129357,129676,318
GH007,135555,135947,392
GH007,141686,142204,517
GH007,153114,153517,404
GH007,161045,161513,468
GH007,163200,163946,747
GH007,171849,172285,437
GH007,173361,173794,433
GH007,174940,175313,373
GH007,176976,177367,391
GH007,178064,178463,399
GH007,183027,183782,756
GH007,186005,186496,491
GH007,190083,190509,426
GH007,193106,193679,573
GH007,198895,199510,616
GH007,202076,202461,384
GH007,202461,203052,591
GH007,206058,206414,356
GH007,209173,209558,385
GH007,212093,212801,707
GH007,213498,213935,437
GH007,215806,216622,816
GH007,217548,217992,444
GH007,221594,222160,566
GH007,224371,224879,508
GH007,227411,227737,327
GH007,233767,234076,310
GH007,246732,247201,469
GH007,252740,253142,403
GH007,268553,269061,508
GH007,269260,269883,624
GH007,270662,271166,504
GH007,276997,277358,361
GH007,279273,279769,496
GH007,284288,284598,311
GH008,568,2005,1437
GH008,3234,4826,1592
GH008,5465,7121,1656
GH008,8854,10626,1771
GH008,11878,13019,1141
GH008,13365,15027,1662
GH008,15732,18356,2624
GH008,18720,20345,1624
GH008,21393,23901,2508
GH008,24268,27305,3037
GH008,28084,30328,2245
GH008,30706,31804,1097
GH008,32818,34331,1512
GH008,34691,35421,730
GH008,36060,36697,638
GH008,38466,39078,611
GH008,39078,39846,769
GH008,39846,41297,1450
GH008,43094,45657,2562
