file,gesture_id,gesture_time_ms,gesture_type,pitch_time_ms,pitch_hz,time_diff_ms
GH003,a13,66728,beat,66742,150.04388961653,-14
GH003,a14,73400,beat,73412,295.7235329406981,-12
GH003,a15,77856,iconic,77882,187.0626341778448,-26
GH003,a16,82828,beat,82902,297.4187760842739,-74
GH003,a17,84334,beat,84372,83.29682876527572,-38
GH003,a18,87890,iconic,88042,233.5315869810704,-152
GH003,a19,91755,beat,91722,244.69893908531654,33
GH003,a20,100319,iconic,100112,167.50049533923152,207
GH003,a21,104254,beat,103852,269.74765733016545,402
GH003,a22,113096,beat,112952,247.76342591365471,144
GH003,a23,117340,beat,117612,224.21215670286816,-272
GH003,a24,130283,beat,130262,294.19633499552475,21
GH003,a25,143376,beat,143242,253.93715388154178,134
GH003,a26,150166,beat,150112,147.36975921232425,54
GH003,a27,159465,deictic,159122,113.45310141520913,343
GH003,a28,166943,iconic,166922,136.92585810810004,21
GH003,a29,171428,deictic,171432,162.08641616433735,-4
GH003,a30,179662,beat,179442,146.91744287827726,220
GH003,a31,197320,beat,197742,220.20889322600306,-422
GH003,a32,200679,beat,200892,293.0825384982371,-213
GH003,a33,206042,deictic,206052,228.28225427174883,-10
GH003,a34,212877,iconic,212882,95.47419855897076,-5
GH003,a35,217861,beat,217952,285.81632283431435,-91
GH003,a36,227013,deictic,227162,291.7775400939799,-149
GH003,a37,232470,beat,232252,264.112603706728,218
GH003,a38,237551,beat,237442,103.12769547254445,109
GH003,a39,241282,deictic,241412,274.90677953112714,-130
GH003,a40,245469,beat,245442,182.36596814422927,27
GH003,a41,252958,iconic,252372,149.96917218665615,586
GH003,a42,255239,beat,254982,116.15749249393073,257
GH003,a43,260167,beat,260292,279.16432412092826,-125
GH003,a44,263247,iconic,263362,286.5317296396653,-115
GH003,a45,268378,beat,268382,129.26666335095436,-4
GH003,a46,271938,beat,271882,232.37717032862133,56
GH003,a47,279770,beat,279772,221.55742228352955,-2
GH003,a48,286397,iconic,286442,174.65519009190766,-45
GH003,a49,290032,beat,289992,103.50665039868962,40
GH003,a50,293485,iconic,293442,290.4645856100354,43
GH003,a51,301936,beat,302032,197.43771633545515,-96
GH003,a52,310255,beat,310232,292.9572164404414,23
GH003,a53,311365,beat,311802,298.8957044742692,-437
GH003,a54,314614,iconic,314682,191.4643236094929,-68
GH003,a55,326160,beat,326572,247.8800543786861,-412
GH003,a56,331095,iconic,330952,138.06778953687385,143
GH003,a57,342840,beat,342782,270.10025550998984,58
GH003,a58,346201,beat,346182,276.64786907818757,19
GH003,a59,352762,beat,352742,188.16549241687355,20
GH003,a60,354837,beat,355352,297.5760150765342,-515
GH003,a61,357744,beat,358002,284.28913863735795,-258
GH003,a62,361769,beat,361822,221.87664691185014,-53
GH003,a63,365080,iconic,365012,255.00225164862886,68
GH003,a64,366473,beat,366452,102.94138250057571,21
GH003,a65,379343,iconic,379412,227.2997837950345,-69
GH003,a66,383807,beat,383822,174.18720137565265,-15
GH003,a67,393757,beat,393752,196.40522149968356,5
GH003,a68,398010,beat,398042,167.62303516003354,-32
GH003,a69,400899,beat,400822,231.93196506697717,77
GH003,a70,407010,deictic,407022,176.60024672633799,-12
GH004,a1,1423,beat,1600,194.51397312306594,-177
GH004,a2,3139,beat,3290,177.322191363073,-151
GH004,a3,11432,deictic,11440,223.92552664194125,-8
GH004,a4,15900,deictic,15920,215.08527296815114,-20
GH004,a5,20546,beat,20550,227.55927947651415,-4
GH004,a6,22663,deictic,22630,257.15672405236614,33
GH004,a7,28588,beat,28930,232.23908837774508,-342
GH004,a8,30877,beat,30860,232.47398687078336,17
GH004,a9,34736,beat,34830,289.62866340948796,-94
GH004,a10,37748,beat,37820,259.0465425047945,-72
GH004,a11,41961,deictic,42120,281.4007166028637,-159
GH004,a12,44597,beat,44670,199.46699873396787,-73
GH004,a13,47090,iconic,47070,166.20765603764502,20
GH004,a14,49308,beat,49340,296.5135962599938,-32
GH004,a15,55668,deictic,55670,297.1690972054471,-2
GH004,a16,56890,deictic,57070,273.65754011072465,-180
GH004,a17,58129,beat,58170,178.67945902340654,-41
GH004,a18,59640,deictic,59650,214.3658662130023,-10
GH004,a19,61232,beat,61310,247.98398372300906,-78
GH004,a20,64037,beat,63960,209.07015021055324,77
GH004,a21,70555,iconic,70500,179.74932645379644,55
GH004,a22,71729,beat,71750,229.3497100202853,-21
GH004,a23,76044,deictic,76200,296.5885186498008,-156
GH004,a24,78321,deictic,78550,203.9337499237208,-229
GH004,a25,81773,beat,81840,281.84083709816804,-67
GH004,a26,87861,iconic,87870,251.15022213821217,-9
GH004,a27,89767,iconic,89780,277.2926574678109,-13
GH004,a28,91893,beat,91970,211.16075076276562,-77
GH004,a29,94090,iconic,94090,187.7263439579477,0
GH004,a30,97815,deictic,98010,249.67396635568764,-195
GH004,a31,101243,deictic,101230,241.20257082022476,13
GH004,a32,102342,deictic,102350,269.2058253135007,-8
GH004,a33,108444,beat,108360,232.0511866612273,84
GH004,a34,112680,beat,113220,168.2928370689923,-540
GH004,a35,114240,iconic,114060,202.40917335021717,180
GH004,a36,116068,beat,116080,175.14265048818152,-12
GH004,a37,135773,beat,135770,199.81202489752624,3
GH004,a38,138383,beat,138340,292.21629551214966,43
GH004,a39,141017,beat,140970,164.63124459614096,47
GH004,a40,142205,deictic,142160,206.37145872549232,45
GH004,a41,144388,iconic,144380,237.66113697558552,8
GH004,a42,145857,iconic,145790,133.45815053659217,67
GH004,a43,148069,iconic,148060,240.27020184801825,9
GH004,a44,149836,beat,149720,255.6832674670922,116
GH004,a45,152185,beat,152100,153.69221920208744,85
GH004,a46,154745,beat,154870,192.39239883142068,-125
GH004,a47,158112,deictic,158210,292.6063772843564,-98
GH004,a48,161780,beat,161770,272.552407439664,10
GH004,a49,163664,iconic,163650,147.35928916412436,14
GH004,a50,165280,beat,165260,180.12457584458795,20
GH004,a51,171635,iconic,171590,216.08046129928903,45
GH004,a52,172653,beat,172550,193.62386359032314,103
GH004,a53,177104,deictic,177090,138.32276055645272,14
GH004,a54,181281,beat,181760,210.62984240284223,-479
GH004,a55,188717,iconic,188730,247.78992999531667,-13
GH004,a56,192875,beat,192920,196.00455000999466,-45
GH004,a57,195308,deictic,195150,277.0589618687121,158
GH004,a69,198650,beat,198660,136.86119873898397,-10
GH004,a70,205051,beat,205100,225.3456299406611,-49
GH004,a60,215576,iconic,215590,204.3529270741536,-14
GH004,a61,217290,iconic,217270,174.2629870924782,20
GH004,a62,218886,beat,218990,298.30197335967887,-104
GH004,a63,221780,iconic,221880,204.90581365799736,-100
GH004,a64,223508,iconic,223530,223.96245028426299,-22
GH004,a65,226418,beat,226420,226.63641638060378,-2
GH004,a66,236255,beat,236240,225.96608929920833,15
GH004,a67,239530,beat,239500,189.11443570778775,30
GH004,a68,241453,iconic,241450,175.5994118266207,3
GH005,a1,1476,beat,1494,286.41677833987023,-18
GH005,a2,3029,beat,2854,131.97977130749783,175
GH005,a3,10632,beat,10644,291.84388466300425,-12
GH005,a4,12200,beat,12244,178.5856201904023,-44
GH005,a5,14986,deictic,15064,189.8864248553469,-78
GH005,a6,16537,iconic,16564,186.7793201405391,-27
GH005,a7,17870,beat,17844,285.5969645367834,26
GH005,a8,21179,beat,21154,235.1624545576141,25
GH005,a9,24525,deictic,24694,226.825987242685,-169
